m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
3,150,autompg,no_cut,38.40787553,15.92780578,0.585298443,38.05380337,27.69606325,0.272186725,616771,300.017729
3,150,autompg,cut,38.30513028,19.26781362,0.496991304,38.05380356,27.96682032,0.265071617,1465739,300.015295
3,200,autompg,original,58.5279423,24.0398181,0.58925913,58.5204506,37.9607566,0.35132494,3477159,300.00689
3,200,autompg,no_cut,59.3962974,23.9933123,0.596047,58.5204426,35.8721223,0.38701553,1144735,300.00954
3,200,autompg,cut,61.299497,29.6781909,0.51584936,58.5204454,36.4414536,0.3772868,1962642,300.004958
2,50,diabetes,original,18.52573732,7.161839443,0.613411368,18.52573732,18.52573732,0,175326,3.183026075
2,50,diabetes,no_cut,19.8885593,-27.85454491,2.400531054,18.52573069,18.52573069,0,300585,147.861577
2,50,diabetes,cut,22.2651567,18.52427419,0.168015099,18.54541323,18.52464446,0.001119887,152095,300.0309041
2,60,diabetes,original,22.06820819,8.623957193,0.609213529,22.06820819,22.06812422,3.81E-06,2200400,44.28662395
2,60,diabetes,no_cut,22.84317085,-42.39668401,2.855989446,22.06820071,18.90073852,0.143530605,472131,300.005615
2,60,diabetes,cut,26.43791796,22.06756564,0.165306221,22.06820879,22.06769267,2.34E-05,60482,60.17796683
2,70,diabetes,original,25.14878019,9.122813367,0.637246288,25.14726804,25.14573338,6.10E-05,12614928,288.1734259
2,70,diabetes,no_cut,28.25940938,-55.49843371,2.963892202,25.14725984,19.73430398,0.215250325,335656,300.0026109
2,70,diabetes,cut,27.09287165,25.13333306,0.072326722,25.14726804,25.13765447,0.000382291,192832,300.0521321
2,80,diabetes,original,30.09988587,10.12315082,0.663681422,30.07961478,26.11803751,0.131703059,13249481,300.0051661
2,80,diabetes,no_cut,34.28031644,-72.41407706,3.112409819,30.07960637,21.42937254,0.287578026,337035,300.0038071
2,80,diabetes,cut,32.65523052,30.07870451,0.078900867,30.1150205,30.07875149,0.00120435,146037,300.026324
2,90,diabetes,original,33.39565008,11.17993806,0.665227716,33.39146331,27.14212237,0.187153851,11983739,300.007098
2,90,diabetes,no_cut,38.70299498,-90.17623847,3.329955047,33.39145829,22.382143,0.329704537,277108,300.0063689
2,90,diabetes,cut,41.26066805,33.39013664,0.190751429,33.39146489,33.39018924,3.82E-05,93620,94.57753491
2,100,diabetes,original,36.47675372,12.5723774,0.65533179,36.47675372,28.58447405,0.21636464,10471796,300.0068269
2,100,diabetes,no_cut,41.10795479,-104.8431137,3.550433712,36.47674535,23.55035846,0.354373362,198735,300.0021729
2,100,diabetes,cut,47.57362168,36.46974467,0.233404072,36.47675505,36.47000788,0.000184972,175464,300.0152581
2,120,diabetes,original,46.80938238,16.13718889,0.655257385,46.80938238,31.80537863,0.320534111,5807650,300.5147231
2,120,diabetes,no_cut,52.3431912,-113.3009661,3.164578878,46.80938104,26.79452036,0.427582255,134102,300.0066822
2,120,diabetes,cut,54.02964943,46.80871351,0.133647655,46.80938251,46.80874549,1.36E-05,62684,86.66551685
2,150,diabetes,original,59.39876797,21.41137563,0.639531654,59.39160595,36.84241425,0.379669674,6022087,300.01002
2,150,diabetes,no_cut,69.79369744,-158.4279662,3.2699466,59.39876799,31.15453106,0.475502067,89543,300.0034142
2,150,diabetes,cut,73.41654587,59.37686558,0.19123319,60.63708899,59.37969269,0.020736423,160106,300.0221989
2,200,diabetes,original,78.2052811,28.21977783,0.639157645,78.2052811,43.75397852,0.440523991,4615005,300.0066919
2,200,diabetes,no_cut,97.22383103,-233.2837735,3.399450536,78.20527106,37.61101092,0.519073198,57688,300.007519
