,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time,find_time
0,3,50,diabetes,original,13.938978924157016,6.06648750728438,0.564782503776455,13.938978924157016,13.938978924157016,0.0,25603.0,0.6765780448913574,0.0
1,3,50,diabetes,opt,13.93897892415702,5.744195773809704,0.5879041208782736,13.93897892415702,13.93897892415702,0.0,11148.0,0.5524649620056152,0.0
2,3,50,diabetes,opt_feasibility,13.93897892415702,5.744195773809704,0.5879041208782736,13.93897892415702,13.93897892415702,0.0,11148.0,1.2925169467926025,3.3745851516723633
3,3,60,diabetes,original,18.7990071774505,7.754565541178833,0.5875013255763596,18.7990071774505,18.7990071774505,0.0,581611.0,14.1061270236969,0.0
4,3,60,diabetes,opt,19.20692587621429,7.752854219953814,0.5963511147010313,18.799007177450505,18.798270243543534,3.920068224959856e-05,68986.0,8.337423086166382,0.0
5,3,60,diabetes,opt_feasibility,19.20692587621429,7.752854219953814,0.5963511147010313,18.799007177450505,18.798270243543534,3.920068224959856e-05,68986.0,8.472216844558716,4.953240871429443
6,3,70,diabetes,original,22.81231592018474,8.725710494670878,0.6175000151146331,22.81231592018474,22.81231592018474,0.0,11339011.0,196.63224816322327,0.0
7,3,70,diabetes,opt,22.81231592018474,8.53194693177824,0.6259938288760493,22.81231592018474,22.81231592018474,0.0,49367.0,6.934046030044556,0.0
8,3,70,diabetes,opt_feasibility,22.81231592018474,8.53194693177824,0.6259938288760493,22.81231592018474,22.81231592018474,0.0,64854.0,8.952854871749878,6.724099397659302
9,3,80,diabetes,original,26.031781969164435,9.64526302489988,0.6294812611627958,26.031781969164435,23.84649636718142,0.08394683101493255,15053038.0,300.0076410770416,0.0
10,3,80,diabetes,opt,26.282319049591145,9.821166742746271,0.6263203896043165,26.03178196916445,26.03178196916445,0.0,217125.0,28.526477098464966,0.0
11,3,80,diabetes,opt_feasibility,26.282319049591145,9.821166742746271,0.6263203896043165,26.03178196916445,26.03178196916445,0.0,217125.0,32.615809202194214,9.958130121231079
12,3,90,diabetes,original,28.750312456094065,10.53315762249344,0.6336332817746202,28.750312456094065,24.66076382452036,0.14224362388475065,13801154.0,300.0144488811493,0.0
13,3,90,diabetes,opt,28.750312456094065,10.994492273394819,0.6175870335258089,28.750312456094065,28.750312456094065,0.0,244984.0,31.770802974700928,0.0
14,3,90,diabetes,opt_feasibility,28.750312456094065,10.994492273394819,0.6175870335258089,28.750312456094065,28.750312456094065,0.0,244984.0,47.91505408287048,17.81677770614624
15,3,100,diabetes,original,31.345309329945195,11.389549788181602,0.6366426099582052,31.345309329945195,25.74193396403637,0.17876280329305086,13458835.0,300.01549315452576,0.0
16,3,100,diabetes,opt,31.345309329945188,11.871252484389926,0.621274993351272,31.345309329945188,31.345309329945188,0.0,225787.0,39.31310510635376,0.0
17,3,100,diabetes,opt_feasibility,31.345309329945188,11.871252484389926,0.621274993351272,31.345309329945188,31.345309329945188,0.0,225787.0,37.960044145584106,15.84194564819336
18,3,120,diabetes,original,38.115533930827965,15.17507029590971,0.6018665165900754,38.115533930827965,29.489198724015367,0.2263207232638447,11521716.0,300.0065538883209,0.0
19,3,120,diabetes,opt,38.170374529622165,15.483739405263188,0.5943519130720866,38.115533930827965,36.10817185266707,0.05266519634235884,1609566.0,300.0050439834595,0.0
20,3,120,diabetes,opt_feasibility,38.170374529622165,15.483739405263188,0.5943519130720866,38.115533930827965,38.115533930827965,0.0,230486.0,45.92890191078186,23.136020183563232
21,3,150,diabetes,original,46.050356714487606,19.881341481516582,0.5682695444732171,46.050356714487606,33.310776856381665,0.2766445423450547,10214550.0,300.0102219581604,0.0
22,3,150,diabetes,opt,46.05035671448759,19.520052991577167,0.5761150535141003,46.05035671448759,35.51022427944127,0.22888275329538033,1036899.0,300.07599806785583,0.0
23,3,150,diabetes,opt_feasibility,46.05035671448759,19.520052991577167,0.5761150535141003,46.05035671448759,36.85683802238902,0.1996405532556116,996898.0,300.01130986213684,35.97169208526611
24,3,200,diabetes,original,58.98550987252799,26.695434794685365,0.5474238528686766,58.88236077547572,40.160453248708855,0.3179544311777062,7220586.0,300.00546288490295,0.0
25,3,200,diabetes,opt,58.88236077547569,26.38911322198942,0.5518333016127913,58.88236077547569,48.74023280113809,0.1722439087150487,704743.0,300.01276302337646,0.0
26,3,200,diabetes,opt_feasibility,58.88236077547569,26.38911322198942,0.5518333016127913,58.88236077547569,44.262154541098504,0.248295177737956,688805.0,300.0072560310364,63.88406586647034
