m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
2,150,diabetes,opt,59.39160595,23.02994744,0.612235651,59.39160595,59.39160595,0,5981,4.44887495
2,200,diabetes,original,78.2052811,28.21977783,0.639157645,78.2052811,43.43279913,0.444630867,3652848,300.0053661
2,200,diabetes,opt,78.2052811,30.62455367,0.608408112,78.2052811,78.2052811,0,7793,8.061351061
3,50,diabetes,original,13.93897892,6.066487507,0.564782504,13.93897892,13.93897892,0,23088,0.759153128
3,50,diabetes,opt,13.93897892,5.744195774,0.587904121,13.93897892,13.93897892,0,12315,1.703156948
3,60,diabetes,original,18.79900718,7.754565541,0.587501326,18.79900718,18.79841414,3.15E-05,578529,14.74275112
3,60,diabetes,opt,19.20692588,7.75285422,0.596351115,18.79900718,18.79900718,0,92933,12.59358191
3,70,diabetes,original,22.81231592,8.725710495,0.617500015,22.81231592,22.33033937,0.02112791,9792363,300.0088661
3,70,diabetes,opt,22.81231592,8.531946932,0.625993829,22.81231592,22.81231592,0,83232,16.74087715
3,80,diabetes,original,26.03178197,9.645263025,0.629481261,26.03178197,23.34572105,0.103183905,8870192,300.0031168
3,80,diabetes,opt,26.28231905,9.821166743,0.62632039,26.03178197,26.03178197,0,486040,123.8837252
3,90,diabetes,original,28.75031246,10.53315762,0.633633282,28.75031246,24.12909817,0.160736141,7837892,300.0064991
3,90,diabetes,opt,28.75031246,10.99449227,0.617587034,28.75031246,28.75031246,0,150897,41.52621984
3,100,diabetes,original,31.34530933,11.38954979,0.63664261,31.34530933,25.08445674,0.199738102,6956184,300.006834
3,100,diabetes,opt,31.34530933,11.87125248,0.621274993,31.34530933,29.82345035,0.04855141,908650,300.0054278
3,120,diabetes,original,38.11553393,15.1750703,0.601866517,38.11553393,28.81872798,0.243911209,5738491,300.0050259
3,120,diabetes,opt,38.17037453,15.48373941,0.594351913,38.11553393,35.21185342,0.076181027,768805,300.009773
3,150,diabetes,original,46.05035671,19.88134148,0.568269544,46.05035671,32.52628153,0.293680139,4510660,300.0049
3,150,diabetes,opt,46.05035671,19.52005299,0.576115054,46.05035671,35.51251009,0.228833116,530527,300.004385
3,200,diabetes,original,58.98550987,26.69543479,0.547423853,58.88236078,39.29589056,0.332637312,3168525,300.0050881
3,200,diabetes,opt,58.88236078,26.38911322,0.551833302,58.88236078,41.90778414,0.288279485,245452,300.005445
