,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
0,10,50,diabetes,original,8.457733394420089,4.186659544922693,0.5049903621122884,8.457733394420089,8.457733394420089,0.0,1765.0,0.13312196731567383
1,10,50,diabetes,opt,8.4577333944201,4.1866595449227075,0.5049903621122874,8.4577333944201,8.4577333944201,0.0,1815.0,0.18369102478027344
2,10,50,diabetes,opt,8.457733394420107,4.186659544922707,0.504990362112288,8.457733394420107,8.457733394420107,0.0,1774.0,0.20140695571899414
3,10,80,diabetes,original,16.44351146681234,7.761375659382171,0.5279976740341122,16.44351146681234,16.44351146681234,0.0,164308.0,5.4322350025177
4,10,80,diabetes,opt,16.443511466812325,7.318079583287976,0.5549563973572228,16.443511466812325,16.443511466812325,0.0,148985.0,11.08122706413269
5,10,80,diabetes,opt,16.443511466812325,7.318079583287764,0.5549563973572357,16.443511466812325,16.443511466812325,0.0,147873.0,12.533421993255615
6,10,100,diabetes,original,21.86974592486068,9.681928610416207,0.5572912166569725,21.70293332275114,21.702252605989028,3.1365196215126614e-05,4722439.0,196.55589318275452
7,10,100,diabetes,opt,21.70293332275112,9.681928610416188,0.5538884782792632,21.70293332275112,21.701987014699764,4.360277190575134e-05,1957167.0,213.584862947464
8,10,100,diabetes,opt,21.86974592486067,9.68192861041622,0.5572912166569717,21.70293332275114,21.70293332275114,0.0,2264120.0,335.717355966568
9,10,120,diabetes,original,26.896342508781657,12.93613471105361,0.5190374041812577,26.896342508781657,24.219177788711946,0.0995363856329394,7554609.0,600.0043411254883
10,10,120,diabetes,opt,26.896342508781643,12.936134711053603,0.5190374041812577,26.896342508781643,23.955705503609835,0.10933222627618204,3723187.0,600.0051629543304
11,10,120,diabetes,opt,26.896342508781643,12.936134711053588,0.5190374041812582,26.896342508781643,24.237981039848172,0.09883728496041859,3401941.0,600.0054249763489
12,10,150,diabetes,original,31.391805903230654,15.676659468497565,0.5006130097509229,31.391805903230654,26.424961001590322,0.15822106306821854,5634982.0,600.0033159255981
13,10,150,diabetes,opt,31.391805903230676,15.676659468497554,0.5006130097509237,31.391805903230676,26.955194764500412,0.1413302296913626,2744040.0,600.0052800178528
14,10,150,diabetes,opt,31.391805903230647,15.676659468497553,0.5006130097509233,31.391805903230647,26.49551855224131,0.15597342077364976,2430337.0,600.0089678764343
15,10,200,diabetes,original,44.409714638963905,21.428583541719277,0.5174798190907896,44.409714638963905,32.280796780476805,0.27311406878182254,4196699.0,600.0026650428772
16,10,200,diabetes,opt,44.40971463896389,21.374555411873757,0.5186964026758168,44.40971463896389,33.00838430433916,0.2567305470731737,2473999.0,600.0029668807983
17,10,200,diabetes,opt,44.46864744951799,21.374555411873832,0.5193342582290409,44.409714638963905,32.566080602777014,0.26669016300761367,2215435.0,600.0044779777527
