,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
0,2,50,autompg,original,13.47703996995205,7.732484220210905,0.426247585712368,13.47703996995205,13.47703996995205,0.0,987.0,0.14367890357971191
1,2,50,autompg,opt,13.477039969952056,8.019423532678337,0.4049566113509964,13.477039969952056,13.477039969952056,0.0,185.0,0.204819917678833
2,2,50,autompg,opt_cut,39.477762502960324,13.475866451015035,0.6586466507567514,13.477045943227925,13.47601777202158,7.629054695488021e-05,1.0,0.4277830123901367
3,2,60,autompg,original,15.88243354221319,7.159782599545807,0.5492011611119827,15.88243354221319,15.88243354221319,0.0,29340.0,1.1595301628112793
4,2,60,autompg,opt,15.882433542213196,7.184605469821793,0.5476382475817602,15.882433542213196,15.882433542213196,0.0,424.0,0.2693960666656494
5,2,60,autompg,opt_cut,15.882433793514641,15.869485057743054,0.0008152866204217908,15.882433793514641,15.881266688058219,7.348404354119934e-05,1.0,0.537510871887207
6,2,70,autompg,original,17.972363644709056,7.346020708176778,0.5912601784941406,17.972363644709056,17.972363644709056,0.0,78473.0,3.126955986022949
7,2,70,autompg,opt,17.97236364470904,8.41320891755025,0.5318807762924912,17.97236364470904,17.97236364470904,0.0,548.0,0.32898497581481934
8,2,70,autompg,opt_cut,17.97236449977157,17.969463447140633,0.00016141741566461803,17.97236449977157,17.970773529993536,8.852311992962998e-05,19.0,1.467073917388916
9,2,80,autompg,original,20.92944713936033,8.515050120633628,0.5931545604651899,20.92944713936033,20.92944713936033,0.0,476643.0,15.951053142547607
10,2,80,autompg,opt,20.929447139360335,8.674372962345904,0.5855421834801978,20.929447139360335,20.929447139360335,0.0,841.0,0.36792516708374023
11,2,80,autompg,opt_cut,33.408395085064136,20.918926243404325,0.3738422276753865,20.929447483540272,20.927765455616324,8.03665708457444e-05,1.0,3.4294259548187256
12,2,90,autompg,original,24.143763936473537,10.261284450391074,0.5749923467860973,24.143763936473537,24.143763936473537,0.0,2228170.0,81.51093411445618
13,2,90,autompg,opt,24.14376393647353,10.261284450391068,0.5749923467860975,24.14376393647353,24.14376393647353,0.0,918.0,0.4688599109649658
14,2,90,autompg,opt_cut,24.143764190275355,24.13889209653632,0.00020179511780509156,24.143764190275355,24.14194626402747,7.5295891459079e-05,1.0,1.6591839790344238
15,2,100,autompg,original,25.330774259865535,10.412085121895444,0.588955117791543,25.330774259865535,25.330774259865535,0.0,3689803.0,142.39015889167786
16,2,100,autompg,opt,25.33077425986554,11.048002359746999,0.5638505855996822,25.33077425986554,25.33077425986554,0.0,2899.0,1.223505973815918
17,2,100,autompg,opt_cut,50.4675523592399,25.32172831904653,0.49825725371421786,25.330776150003796,25.328841803489972,7.636349168179322e-05,1.0,0.9274020195007324
18,2,120,autompg,original,33.521730877854615,12.743576034984912,0.6198413476493939,33.521730877854615,28.559842153246713,0.14802006324458217,6562358.0,300.00343203544617
19,2,120,autompg,opt,33.5217308778546,13.558026220318986,0.5955451623389829,33.5217308778546,33.5217308778546,0.0,6372.0,1.8585970401763916
