n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,active_pct,node_count,time,variant,rho,perturbation_level,seed,lambda_value,status,instance_path
100,0.6,1,original,-14.827241256130861,-21.024949618930915,0.417994706887054,-16.009655172413794,-18.84712335655142,0.17723480946840525,51,51.0,24364898.0,600.0047781467438,exact_adversarial_path,0.45,0.0,251662146,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.6,1,opt,-16.0096551724138,-17.73828833523481,0.10797441570132081,-16.009655248592132,-16.2988006281776,0.01806068744740107,51,51.0,18483619.0,600.0055329799652,exact_adversarial_path,0.45,0.0,251662146,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.6,1,tree,,,,-16.0096551724138,,,51,51.0,0.0,0.06460046768188477,exact_adversarial_path,0.45,0.0,251662146,0.18,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.7,1,original,-11.224553513599828,-19.2201334794065,0.7123294442063208,-12.75,-16.7492676221851,0.3136680487988315,50,50.0,23284101.0,600.1517689228058,exact_adversarial_path,0.45,0.0,251662146,0.24499999999999997,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.7,1,opt,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,50,50.0,1.0,0.1529560089111328,exact_adversarial_path,0.45,0.0,251662146,0.24499999999999997,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.7,1,tree,,,,-12.750000000000009,,,50,50.0,0.0,0.20551133155822754,exact_adversarial_path,0.45,0.0,251662146,0.24499999999999997,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.8,1,original,-6.567891861711159,-17.199867320724596,1.6187805284972288,-9.0,-14.551212473994417,0.6168013859993796,50,50.0,22834487.0,600.1319689750671,exact_adversarial_path,0.45,0.0,251662146,0.32000000000000006,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.8,1,opt,-8.999999999999986,-8.999999999999986,0.0,-8.999999999999986,-8.999999999999986,0.0,50,50.0,1.0,5.038815975189209,exact_adversarial_path,0.45,0.0,251662146,0.32000000000000006,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.8,1,tree,,,,-8.99999999999999,,,50,50.0,0.0,0.24311327934265137,exact_adversarial_path,0.45,0.0,251662146,0.32000000000000006,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.9,1,original,-2.680364539309089,-15.147571679533465,4.651310281637294,-4.749999999999993,-12.278364181067655,1.5849187749616154,50,50.0,21865516.0,600.1668360233307,exact_adversarial_path,0.45,0.0,251662146,0.405,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.9/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
100,0.9,1,opt,-4.7499999999999964,-4.7499999999999964,0.0,-4.7499999999999964,-4.7499999999999964,0.0,50,50.0,1.0,0.6209151744842529,exact_adversarial_path,0.45,0.0,251662146,0.405,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.9/perturb=0/inst_n100_exact_adversarial_path_rep01.npz
