n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,active_pct,node_count,time,variant,rho,perturbation_level,seed,lambda_value,status,instance_path
100,0.6,3,original,-14.827241256130861,-21.024949618930915,0.417994706887054,-16.009655172413794,-18.847520038388883,0.17725958713120868,51,51.0,24305538.0,600.0058369636536,exact_adversarial_path,0.45,0.0,1318411685,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.6,3,opt,-16.0096551724138,-17.73828833523481,0.10797441570132081,-16.009655248592132,-16.301538325858438,0.018231690360226434,51,51.0,18148101.0,600.0049569606781,exact_adversarial_path,0.45,0.0,1318411685,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.6,3,tree,,,,-16.0096551724138,,,51,51.0,0.0,0.17300200462341309,exact_adversarial_path,0.45,0.0,1318411685,0.18,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.7,3,original,-11.224553513599828,-19.2201334794065,0.7123294442063208,-12.75,-16.750316362425476,0.31375030293533146,50,50.0,23155181.0,600.4780039787292,exact_adversarial_path,0.45,0.0,1318411685,0.24499999999999997,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.7,3,opt,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,50,50.0,1.0,2.7859208583831787,exact_adversarial_path,0.45,0.0,1318411685,0.24499999999999997,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.7,3,tree,,,,-12.750000000000009,,,50,50.0,0.0,0.15904927253723145,exact_adversarial_path,0.45,0.0,1318411685,0.24499999999999997,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.8,3,original,-6.567891861711159,-17.199867320724596,1.6187805284972288,-9.0,-14.57457366040278,0.6193970733780867,50,50.0,20182374.0,600.0035312175751,exact_adversarial_path,0.45,0.0,1318411685,0.32000000000000006,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.8,3,opt,-8.999999999999986,-8.999999999999986,0.0,-8.999999999999986,-8.999999999999986,0.0,50,50.0,1.0,0.9951140880584717,exact_adversarial_path,0.45,0.0,1318411685,0.32000000000000006,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.8,3,tree,,,,-8.99999999999999,,,50,50.0,0.0,0.0710752010345459,exact_adversarial_path,0.45,0.0,1318411685,0.32000000000000006,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
100,0.9,3,original,-2.680364539309089,-15.147571679533465,4.651310281637294,-4.749999999999993,-12.302920845085357,1.5900885989653422,50,50.0,19857890.0,600.0030610561371,exact_adversarial_path,0.45,0.0,1318411685,0.405,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.9/perturb=0/inst_n100_exact_adversarial_path_rep03.npz
