n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,active_pct,node_count,time,variant,rho,perturbation_level,seed,lambda_value,status,instance_path
100,0.6,4,original,-14.827241256130861,-21.024949618930915,0.417994706887054,-16.009655172413794,-18.900481022905474,0.18056765241720238,51,51.0,17958148.0,600.0053009986877,exact_adversarial_path,0.45,0.0,459809832,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.6,4,opt,-16.0096551724138,-17.73828833523481,0.10797441570132081,-16.009655248592132,-16.33903663428637,0.020573921210652085,51,51.0,13979332.0,600.0092749595642,exact_adversarial_path,0.45,0.0,459809832,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.6,4,tree,,,,-16.0096551724138,,,51,51.0,0.0,0.06494569778442383,exact_adversarial_path,0.45,0.0,459809832,0.18,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.7,4,original,-11.224553513599828,-19.2201334794065,0.7123294442063208,-12.75,-16.803064828246775,0.317887437509551,50,50.0,17827714.0,600.0080909729004,exact_adversarial_path,0.45,0.0,459809832,0.24499999999999997,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.7,4,opt,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,50,50.0,1.0,1.1563360691070557,exact_adversarial_path,0.45,0.0,459809832,0.24499999999999997,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.7,4,tree,,,,-12.750000000000009,,,50,50.0,0.0,0.05242276191711426,exact_adversarial_path,0.45,0.0,459809832,0.24499999999999997,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.8,4,original,-6.567891861711159,-17.199867320724596,1.6187805284972288,-9.0,-14.622062598744423,0.6246736220827136,50,50.0,16754642.0,600.0105350017548,exact_adversarial_path,0.45,0.0,459809832,0.32000000000000006,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.8,4,opt,-8.999999999999986,-8.999999999999986,0.0,-8.999999999999986,-8.999999999999986,0.0,50,50.0,1.0,0.11048483848571777,exact_adversarial_path,0.45,0.0,459809832,0.32000000000000006,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.8,4,tree,,,,-8.99999999999999,,,50,50.0,0.0,0.05200672149658203,exact_adversarial_path,0.45,0.0,459809832,0.32000000000000006,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
100,0.9,4,original,-2.680364539309089,-15.147571679533465,4.651310281637294,-4.749999999999993,-12.341002186394999,1.5981057234515825,50,50.0,16901468.0,600.0046050548553,exact_adversarial_path,0.45,0.0,459809832,0.405,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.9/perturb=0/inst_n100_exact_adversarial_path_rep04.npz
