n,sigma2,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,TPR,FPR,F1_score,nnz,node_count,time
100,0.01,0.5,102,original,117.15599670956806,116.71345303597195,0.003777388149350817,117.15599670959233,117.14836402957519,6.514971688609897e-05,0.6875,0.11904761904761904,0.5945945945945946,21,6.0,0.3365468978881836
100,0.01,0.5,102,opt,inf,-inf,,117.15599666125837,117.15599666125831,4.851942749901528e-16,0.6875,0.11904761904761904,0.5945945945945946,21,1.0,0.019981861114501953
100,0.02,0.5,102,original,108.05897104369541,104.00691258024273,0.037498584562814,108.0589639283811,108.04871547382322,9.484131797408537e-05,0.6428571428571429,0.12790697674418605,0.5294117647058824,20,1.0,0.16662311553955078
100,0.02,0.5,102,opt,inf,-inf,,108.05896226299262,108.05896226299257,5.260407621022972e-16,0.6428571428571429,0.12790697674418605,0.5294117647058824,20,1.0,0.020486831665039062
100,0.05,0.5,102,original,117.779835447459,117.73351489612544,0.0003932808290790025,117.77983454664822,117.77192463800263,6.715842891131008e-05,0.3888888888888889,0.14634146341463414,0.3783783783783784,19,1.0,0.5631699562072754
100,0.05,0.5,102,opt,inf,-inf,,117.77983436391386,117.77983436391366,1.6891853099241938e-15,0.3888888888888889,0.14634146341463414,0.3783783783783784,19,1.0,0.020727872848510742
400,0.01,0.5,102,original,472.05421112013164,471.54635757654546,0.0010758373331340484,472.0542072152225,472.0362176083854,3.8109197126356454e-05,0.7291666666666666,0.07386363636363637,0.6422018348623854,61,46.0,1.3603618144989014
400,0.01,0.5,102,opt,inf,-inf,,472.0542071221039,472.0542071221056,-3.612514283519855e-15,0.7291666666666666,0.07386363636363637,0.6422018348623854,61,1.0,0.0503849983215332
400,0.02,0.5,102,original,475.30728349242986,474.9898125306677,0.0006679278285606984,475.3072527425734,475.266215774368,8.63377698711771e-05,0.75,0.06534090909090909,0.6728971962616822,59,65.0,1.2514519691467285
400,0.02,0.5,102,opt,inf,-inf,,475.3072023895686,475.3072023895727,-8.610696697635396e-15,0.75,0.06534090909090909,0.6728971962616822,59,1.0,0.04994082450866699
400,0.05,0.5,102,original,425.73019569845155,425.68759416139784,0.00010006698487482431,425.7301956984516,425.6901529296177,9.405668011928006e-05,0.425,0.058333333333333334,0.4358974358974359,38,1.0,1.6825759410858154
400,0.05,0.5,102,opt,inf,-inf,,425.710424905476,425.7104249054775,-3.605202549556062e-15,0.425,0.058333333333333334,0.4358974358974359,38,1.0,0.05142498016357422
1600,0.01,0.5,102,original,1813.606860710236,1813.3410851361614,0.0001465453069419034,1813.60685915872,1813.4322508892424,9.62768025472876e-05,0.728,0.05559322033898305,0.610738255033557,173,15.0,6.3960230350494385
1600,0.01,0.5,102,opt,inf,-inf,,1813.6068581183372,1813.6068581182763,3.359942357188094e-14,0.728,0.05559322033898305,0.610738255033557,173,1.0,0.18423199653625488
1600,0.02,0.5,102,original,1799.5686197111136,1799.3670729202374,0.00011199728016400456,1799.5686197111136,1799.389194679904,9.970446763979403e-05,0.6134453781512605,0.04591492234976367,0.5615384615384615,141,1.0,11.26953387260437
1600,0.02,0.5,102,opt,inf,-inf,,1799.5686197111131,1799.5686197111422,-1.617267057113153e-14,0.6134453781512605,0.04591492234976367,0.5615384615384615,141,1.0,0.19364094734191895
1600,0.05,0.5,102,original,1851.0093697217785,1846.903566591685,0.00221814281291873,1851.0093697217776,1849.288596027557,0.0009296407259565328,0.559322033898305,0.03576248313090418,0.5569620253164557,119,2577864.0,3600.014088153839
1600,0.05,0.5,102,opt,inf,-inf,,1851.0093697217776,1851.009369721805,-1.4740520226155844e-14,0.559322033898305,0.03576248313090418,0.5569620253164557,119,1.0,0.21349596977233887
