n,sigma2,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,TPR,FPR,F1_score,nnz,node_count,time
100,0.01,0.5,103,original,110.77657520483001,110.44197879793433,0.0030204617382059646,110.77657302684185,110.77112903209672,4.914391731365763e-05,0.7222222222222222,0.14634146341463414,0.6046511627906976,25,6.0,0.2682030200958252
100,0.01,0.5,103,opt,inf,-inf,,110.7765721086601,110.77657210865993,1.539407235088949e-15,0.7222222222222222,0.14634146341463414,0.6046511627906976,25,1.0,0.02672410011291504
100,0.02,0.5,103,original,128.18081158800015,128.10310623665055,0.0006062167214182439,128.1808105817459,128.17715450954017,2.85227733319506e-05,0.7647058823529411,0.13253012048192772,0.6341463414634146,24,6.0,0.2577040195465088
100,0.02,0.5,103,opt,inf,-inf,,128.180810353165,128.18081035316487,8.86925565600537e-16,0.7647058823529411,0.13253012048192772,0.6341463414634146,24,1.0,0.018692970275878906
100,0.05,0.5,103,original,117.60829384382174,117.51895239390835,0.000759652631574031,117.60828577647902,117.60817881937129,9.094351390821181e-07,0.8333333333333334,0.06097560975609756,0.7894736842105263,20,7.0,0.25853490829467773
100,0.05,0.5,103,opt,inf,-inf,,117.60828515015015,117.6082851501499,2.1749775923274695e-15,0.8333333333333334,0.06097560975609756,0.7894736842105263,20,1.0,0.018271923065185547
400,0.01,0.5,103,original,490.6172848857602,490.19273917734995,0.0008653297009483333,490.61728480507713,490.6009199517282,3.3355639631477736e-05,0.7045454545454546,0.09831460674157304,0.5636363636363636,66,30.0,0.968890905380249
400,0.01,0.5,103,opt,inf,-inf,,490.61728477342444,490.617284773428,-7.299244236543226e-15,0.7045454545454546,0.09831460674157304,0.5636363636363636,66,1.0,0.03667306900024414
400,0.02,0.5,103,original,471.90464141355676,471.52252930764007,0.000809723135530306,471.9046413779507,471.8621475104733,9.004757264807894e-05,0.6086956521739131,0.08192090395480225,0.5436893203883495,57,63.0,1.006098985671997
400,0.02,0.5,103,opt,inf,-inf,,471.9046387530856,471.90463875308933,-7.950050363408932e-15,0.6086956521739131,0.08192090395480225,0.5436893203883495,57,1.0,0.03798699378967285
400,0.05,0.5,103,original,455.26390714049523,455.1285113321703,0.0002974007080318186,455.2638178799545,455.2226751925593,9.037108985909123e-05,0.6190476190476191,0.055865921787709494,0.5909090909090909,46,1.0,1.307271957397461
400,0.05,0.5,103,opt,inf,-inf,,455.2637869592841,455.2637869592865,-5.244044574903675e-15,0.6190476190476191,0.055865921787709494,0.5909090909090909,46,1.0,0.041471004486083984
1600,0.01,0.5,103,original,1844.457359047808,1844.1804412105143,0.00015013512561583552,1844.4573576671178,1844.2764452670826,9.808434946089485e-05,0.752,0.05423728813559322,0.6287625418060201,174,15.0,2.936216115951538
1600,0.01,0.5,103,opt,inf,-inf,,1844.4573559542628,1844.457355937102,9.30398348598526e-12,0.752,0.05423728813559322,0.6287625418060201,174,1.0,0.12548494338989258
1600,0.02,0.5,103,original,1757.1249101510539,1756.2292069643258,0.0005097549875671853,1757.124910151054,1757.1086321616654,9.26399102005515e-06,0.592,0.04745762711864407,0.550185873605948,144,901.0,7.011319160461426
1600,0.02,0.5,103,opt,inf,-inf,,1757.1249101510507,1757.1249101510841,-1.9021943230707393e-14,0.592,0.04745762711864407,0.550185873605948,144,1.0,0.1241450309753418
1600,0.05,0.5,103,original,1790.7380382556014,1787.5741712752847,0.001766794982139706,1790.7380382556012,1790.5592819229992,9.982271487131469e-05,0.5333333333333333,0.03812709030100334,0.5137614678899083,113,2612094.0,1942.250139951706
1600,0.05,0.5,103,opt,inf,-inf,,1790.7380382556012,1790.7380382556225,-1.1935372474962258e-14,0.5333333333333333,0.03812709030100334,0.5137614678899083,113,1.0,0.1655898094177246
