n,sigma2,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,TPR,FPR,nnz,node_count,time
100,0.1,1.0,101,original,-11.114694694502901,-11.251889246526765,-0.012343528616374643,-11.238704615455148,-11.238703828824896,6.999296443915368e-08,0.8888888888888888,0.012195121951219513,17,1.0,0.10929393768310547
100,0.1,1.0,101,opt,inf,-inf,,-11.238704840112348,-11.23870484011237,-1.89668492731676e-15,0.8888888888888888,0.012195121951219513,17,1.0,0.0186769962310791
1600,0.1,1.0,101,original,-78.59245205772999,-78.59619745071944,-4.7655886683711335e-05,-78.59245205773027,-78.59245205772999,3.616340842696545e-15,0.96,0.023728813559322035,155,471.0,8.139945030212402
1600,0.1,1.0,101,opt,inf,-inf,,-78.59245205773001,-78.59245205773003,-1.8081704213482782e-16,0.96,0.023728813559322035,155,1.0,0.13240599632263184
10000,0.1,1.0,101,original,-449.7381876156445,-449.7538069375131,-3.472981013999879e-05,-449.7386133503852,-449.7528188182074,-3.158605332188057e-05,0.9794450154162384,0.059931317159632215,1494,168163.0,3600.0685160160065
10000,0.1,1.0,101,opt,-449.7386367936116,-449.73922082467743,-1.2986010497234397e-06,-449.73863675661767,-449.7386367936116,-8.22564959841533e-11,0.9794450154162384,0.060263653483992465,1497,11.0,1.3451619148254395
