m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
3,1000,crime,original,193.88655437615733,66.60665982851226,0.6564658129965559,193.80035559244783,83.654779740392,0.568345581799067,75,2831490.0,3600.0109441280365
3,1000,crime,opt,193.80035559244715,131.57507861474653,0.3210792714362062,193.80035559244715,193.80035559244715,0.0,75,150335.0,439.91977095603943
