n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,1,original,0.28203311432031375,0.12789274830674394,0.5465328650681346,0.28203311432031375,0.25340019859675117,0.10152324060444651,15,13833703.0,600.0112018585205
100,0.2,1,opt,inf,-inf,,0.28203311432031375,0.28203311432031386,-3.9364988302906935e-16,15,1.0,0.06438994407653809
100,0.2,1,tree,,,,0.28203311432031386,,,15,0.0,0.09064579010009766
200,0.2,1,original,0.27942592442505226,0.0928511193135163,0.6677075704247303,0.27853128603411353,0.16582530205197543,0.404643893283623,24,5540893.0,600.0094220638275
200,0.2,1,opt,inf,-inf,,0.2785312860342901,0.2785312860342902,-3.985990372688246e-16,24,1.0,0.17351984977722168
200,0.2,1,tree,,,,0.27853128603411365,,,24,0.0,0.18095016479492188
300,0.2,1,original,0.2992416933872208,0.11221364929505273,0.6250066358572316,0.2991003854135177,0.15879738381439545,0.46908331931818803,39,5217125.0,600.0040571689606
300,0.2,1,opt,inf,-inf,,0.2991003854135176,0.29910038541351747,3.711874269537404e-16,39,1.0,0.17665791511535645
300,0.2,1,tree,,,,0.2991003854135175,,,39,0.0,0.24601006507873535
500,0.2,1,original,0.33117873466652614,0.1328668304958182,0.5988062741117547,0.33093854525183025,0.15957241372541456,0.5178185919564411,63,2863335.0,600.0079879760742
500,0.2,1,opt,inf,-inf,,0.3309385452525025,0.3309120182493057,8.01568858548489e-05,63,1.0,0.18127894401550293
500,0.2,1,tree,,,,0.3309385452518302,,,63,0.0,0.38998842239379883
1000,0.2,1,original,0.32205015817461147,0.13297295652619898,0.5871048246649122,0.3218952776644738,0.14556488395098155,0.5477880725460331,97,1410020.0,600.0133640766144
1000,0.2,1,opt,0.32189527766458537,0.3212510448811916,0.002001373825884613,0.32189527766458526,0.32189527557268555,6.4986964834914925e-09,97,1.0,0.3625948429107666
1000,0.2,1,tree,,,,0.3218952776644738,,,97,0.0,0.8122801780700684
2000,0.2,1,original,0.3426336625955875,0.12822162142513688,0.6257763453427003,0.34186598123309353,0.13447816955821165,0.6066348307803087,191,677615.0,600.3047959804535
2000,0.2,1,opt,inf,-inf,,0.34186596388259816,0.34186515743282203,2.3589648029484514e-06,191,1.0,0.8149030208587646
2000,0.2,1,tree,,,,0.34186598123309364,,,191,0.0,1.6755354404449463
5000,0.2,1,original,0.3563970601211632,0.12926413209366036,0.6373030348518732,0.3561193950297131,0.13004125878698514,0.6348380329688726,388,164380.0,600.00940990448
5000,0.2,1,opt,inf,-inf,,0.3561193942912355,0.35610381907245503,4.373594651165267e-05,389,1.0,1.8549978733062744
5000,0.2,1,tree,,,,0.3561193950296423,,,388,0.0,4.268136501312256
