n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,2,original,0.25011224143120125,0.10574855713746113,0.5771955961357872,0.25011224143120125,0.2346542627971454,0.06180416658377713,14,17293515.0,600.0054399967194
100,0.2,2,opt,inf,-inf,,0.25011224143130806,0.25011224143130817,-4.4388991849088406e-16,14,1.0,0.04691004753112793
100,0.2,2,tree,,,,0.2501122414312012,,,14,0.0,0.1267530918121338
200,0.2,2,original,0.2913584934257616,0.12370380580576763,0.5754240614328017,0.28852043332059585,0.18861586246810144,0.34626514906652467,25,7287811.0,600.0031309127808
200,0.2,2,opt,0.288520433320596,0.28803078838453333,0.001697089285591787,0.2885204333205958,0.288520433320596,-7.695975025737661e-16,25,1.0,0.11822700500488281
200,0.2,2,tree,,,,0.2885204333205958,,,25,0.0,0.11542487144470215
300,0.2,2,original,0.3220546666923646,0.13116012062381707,0.5927395743993215,0.32054842673154,0.17064798605941664,0.4676374243997313,40,5356828.0,600.0027418136597
300,0.2,2,opt,0.3205484267315295,0.3193300860942186,0.0038008005521465668,0.3205484267315294,0.3205484267315294,0.0,40,1.0,0.1688840389251709
300,0.2,2,tree,,,,0.32054842673131256,,,40,0.0,0.17010259628295898
500,0.2,2,original,0.3130579311154309,0.13051506446759203,0.5830961253638757,0.31287995650933453,0.1582852087128433,0.49410243315435587,52,3490499.0,600.003751039505
500,0.2,2,opt,inf,-inf,,0.31287994645039036,0.3128799383761173,2.580629783107416e-08,52,1.0,0.1330430507659912
500,0.2,2,tree,,,,0.3128799565093344,,,52,0.0,0.28899526596069336
1000,0.2,2,original,0.3255365489701533,0.10359343408886694,0.681776333820001,0.3250412909583109,0.11822652372728186,0.6362722921179718,103,1754564.0,600.0045380592346
1000,0.2,2,opt,inf,-inf,,0.325041290958361,0.3250375109641099,1.162927405303609e-05,103,1.0,0.2572000026702881
1000,0.2,2,tree,,,,0.32504129095831086,,,103,0.0,0.6292970180511475
2000,0.2,2,original,0.3460954620709921,0.13282823164352348,0.6162092653607883,0.3459970061344737,0.13928629278102247,0.597434976859632,194,950978.0,600.0081250667572
2000,0.2,2,opt,inf,-inf,,0.3459969918871865,0.3459969918871866,-1.6043824811447326e-16,195,1.0,0.4575190544128418
2000,0.2,2,tree,,,,0.3459970061344738,,,194,0.0,1.186152458190918
5000,0.2,2,original,0.36021687642722067,0.1200890277233612,0.6666202069307422,0.35974114027673054,0.12173888928715511,0.661593085535039,424,287490.0,602.3449528217316
5000,0.2,2,opt,inf,-inf,,0.35974112270041647,0.3597261172463973,4.171181183437887e-05,426,1.0,1.2968602180480957
5000,0.2,2,tree,,,,0.35974114027673043,,,424,0.0,3.2531702518463135
10000,0.2,2,original,0.3683485984608547,0.13949460685446935,0.6212973052229659,0.36810726690868495,0.13993658053099264,0.6198483618479985,726,119213.0,600.0182130336761
10000,0.2,2,opt,inf,-inf,,0.3681465081116107,0.36811564334692454,8.383826548969958e-05,728,1.0,2.3277480602264404
10000,0.2,2,tree,,,,0.3681072669076306,,,726,0.0,6.426602602005005
