n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
200,0.01,0.2,0,original,0.3062603127858796,0.1407267865462403,0.5404994357051129,0.3043257205261678,0.2154939210414043,0.2918971138265167,27,46608913.0,3600.003545999527
200,0.01,0.2,0,opt,0.30432572052616785,0.2993243510591492,0.016434264768589054,0.30432571294833055,0.30432571294833066,-3.648140716961547e-16,28,163.0,0.17453598976135254
200,0.01,0.2,1,original,0.28476459783587377,0.12180780295798674,0.5722508911441597,0.27859824466245536,0.20179051549725946,0.2756935143588387,22,52825800.0,3600.0026190280914
200,0.01,0.2,1,opt,0.27859824466245553,0.2770312009614356,0.005624743626502585,0.27859824466245553,0.27859824466245553,0.0,22,1.0,0.12088394165039062
200,0.01,0.2,2,original,0.30161550671844184,0.1290929970356109,0.5719948273212648,0.29838696207201343,0.20807930667985935,0.30265281956374157,29,46434634.0,3600.4440808296204
200,0.01,0.2,2,opt,0.29922519845821904,0.2859108919390914,0.044495940140504946,0.29838695460779396,0.29838695460779413,-5.581123809942313e-16,30,335.0,0.20396184921264648
200,0.01,0.2,3,original,0.26379228001932825,0.11452803984355167,0.5658400623583066,0.263065789521037,0.1990328500438699,0.2434103635966944,23,52611364.0,3600.003135919571
200,0.01,0.2,3,opt,0.26306578952097204,0.2582227167993208,0.018410119880924863,0.26306578952097204,0.26306561466586503,6.646820452140811e-07,23,1.0,0.12406396865844727
200,0.01,0.2,4,original,0.28325288455913655,0.09554574604278303,0.662683943390397,0.28246698613657073,0.1853079445077659,0.3439660080552888,33,42929339.0,3600.0087208747864
200,0.01,0.2,4,opt,0.2829199747926649,0.27424789579728465,0.030652056298730752,0.2824669861366104,0.28246698613661037,1.9652261664451926e-16,33,258.0,0.20119500160217285
