n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,1,original,0.26234296097637466,0.10721458735600846,0.5913189858154277,0.2610806438414305,0.2420131491642669,0.07303296941746626,16,21663642.0,600.0033020973206
100,0.2,1,opt,inf,-inf,,0.2610806438414304,0.26108064384143054,-4.252414151772431e-16,16,1.0,0.09155702590942383
200,0.2,1,original,0.31115433745770055,0.10925855594246925,0.6488605724246982,0.31014324105855084,0.18231067686069669,0.4121726585481871,32,13409362.0,600.002564907074
200,0.2,1,opt,inf,-inf,,0.3101432410585505,0.31014324105855057,-1.7898552630646602e-16,32,1.0,0.09022092819213867
300,0.2,1,original,0.3040367454230738,0.12158431769806767,0.6000999236823154,0.30269743362541635,0.16951548138250563,0.4399837509283988,41,10358164.0,600.002503156662
300,0.2,1,opt,inf,-inf,,0.3026974336255561,0.3026974336255559,7.335529814887883e-16,41,1.0,0.09280204772949219
500,0.2,1,original,0.3307868518687742,0.1299535791751863,0.607138015187073,0.33038695138952195,0.1592558908506944,0.5179716081978862,63,6684312.0,600.0059759616852
500,0.2,1,opt,inf,-inf,,0.33038695139030083,0.3303869134446102,1.1485226788016952e-07,63,1.0,0.15236806869506836
1000,0.2,1,original,0.35691468155401074,0.11803995594423772,0.6692768270829029,0.3558754861749622,0.13064613328199615,0.6328880792374515,121,2875459.0,600.0051639080048
1000,0.2,1,opt,inf,-inf,,0.35587548617509523,0.3558754861750905,1.3258704344517226e-14,121,1.0,0.28673887252807617
2000,0.2,1,original,0.3591647745397139,0.1296936253248402,0.6389021571198108,0.3573316167430098,0.13557994018709965,0.6205767028877052,194,1321380.0,600.0045680999756
2000,0.2,1,opt,inf,-inf,,0.35733160105732925,0.3573165475355245,4.2127597335949094e-05,196,1.0,0.5146667957305908
5000,0.2,1,original,0.3605545449381713,0.12864768936699875,0.6431949307723758,0.3600447194012007,0.1302038128766728,0.6383676641801108,409,366423.0,600.008721113205
5000,0.2,1,opt,inf,-inf,,0.360044719401941,0.36004471940194105,-1.5417849017051455e-16,409,1.0,1.5172860622406006
10000,0.2,1,original,0.38293751336997095,0.14411523813686258,0.6236586045890281,0.38249017686677556,0.14447369221913953,0.6222813003915107,751,133393.0,600.0180721282959
10000,0.2,1,opt,inf,-inf,,0.3824901768676777,0.3824521962454035,9.929829462617687e-05,751,1.0,2.3476269245147705
