,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
0,3,50,diabetes,original,13.938978924157016,6.06648750728438,0.564782503776455,13.938978924157016,13.938978924157016,0.0,23088.0,0.6893510818481445
1,3,50,diabetes,no_cut,14.069809240172969,5.728100551323077,0.5928800132579013,13.93897799419167,13.938977993938398,1.8170123969434902e-11,49224.0,2.333026885986328
2,3,50,diabetes,cut,14.069808285837567,5.728100551323074,0.5928799856435227,13.938978973553684,13.938967700362793,8.087529877469558e-07,48812.0,2.125931978225708
3,3,60,diabetes,original,18.7990071774505,7.754565541178833,0.5875013255763596,18.7990071774505,18.79841414111017,3.1546152130732815e-05,578529.0,12.878144025802612
4,3,60,diabetes,no_cut,18.799007219654555,7.218388108766224,0.616022908847052,18.799005646362712,18.798259688436094,3.968071187651226e-05,2829836.0,137.10127997398376
5,3,60,diabetes,cut,18.952083684136646,8.80250776975149,0.535538787372525,18.799004706496476,18.797779143354383,6.519298022566283e-05,5784933.0,235.30614495277405
6,3,70,diabetes,original,22.81231592018474,8.725710494670878,0.6175000151146331,22.81231592018474,22.4144575554348,0.017440507405822297,10158364.0,300.00264596939087
7,3,70,diabetes,no_cut,22.81231697027668,8.101582356784004,0.644859293891981,22.812313976561455,19.62964970551701,0.1395151879074818,4454451.0,300.0087070465088
8,3,70,diabetes,cut,22.82957182406321,11.786442292162107,0.48372039637910497,22.81231441848575,19.48746876475532,0.14574784446404845,5087202.0,300.0026869773865
9,3,80,diabetes,original,26.031781969164435,9.64526302489988,0.6294812611627958,26.031781969164435,23.395142019986675,0.10128541919646347,9339121.0,300.0086319446564
10,3,80,diabetes,no_cut,26.0317838908157,10.238313068198504,0.6066995212029748,26.031782009888694,20.86553546367836,0.19845919669455717,3467970.0,300.0042350292206
11,3,80,diabetes,cut,26.555959393370745,13.258543368326563,0.5007319008163441,26.031780289612453,21.033046742570313,0.19202426770007738,4722002.0,300.00860595703125
12,3,90,diabetes,original,28.750312456094065,10.53315762249344,0.6336332817746202,28.750312456094065,24.319822749546155,0.15410231500314703,9576997.0,300.0043411254883
13,3,90,diabetes,no_cut,28.750313213618483,11.254254252197446,0.6085519427709567,28.750312462429488,22.599775733973562,0.21392938725425548,3788013.0,300.02884912490845
14,3,90,diabetes,cut,28.750312548327575,11.277982209654121,0.6077266224255301,28.750308366915753,22.644413706501446,0.21237666679918568,3913497.0,300.00836300849915
