n,tau,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
50,20.0,original,20.375965253537473,0.0,1.0,14.871620051153196,6.693078990656035,0.5499428093525129,5,7562196.0,3600.004452943802
50,20.0,opt,20.382229449518814,1.6467744587229842,0.9192053811973027,14.501839740594331,13.515676234893595,0.06800264348099025,3,8741463.0,3600.0080621242523
100,20.0,original,10.50338055427065,0.0,1.0,8.030369292575736,5.568423143836753,0.3065794053127425,5,4532493.0,3600.0121898651123
100,20.0,opt,10.631087578726703,1.0550664278080637,0.9007564917516716,7.73269060083152,7.707044115440827,0.003316631092326918,4,7054500.0,3602.3725311756134
200,20.0,original,8.922200922925885,0.0,1.0,5.122529203236026,3.3984648527026144,0.3365649946669477,4,2131796.0,3600.0107090473175
200,20.0,opt,1e+100,0.9195490076691932,1.0,4.8468335521400014,4.836930973808464,0.0020431021989734278,4,3444753.0,3603.959079027176
500,20.0,original,23.910772104963176,0.0,1.0,7.614992976670355,1.1595332886684653,0.8477301108548649,16,1052618.0,3600.0143020153046
500,20.0,opt,1e+100,0.9484701485334492,1.0,6.599719596674638,3.3944512298831664,0.48566728240078694,9,525868.0,3600.0125839710236
