n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.01,0.2,0,original,0.17524229407271474,0.14350404110673007,0.1811106909660476,0.17114690038476243,0.1711469003847623,8.108699471982973e-16,9,215.0,0.12168693542480469
100,0.01,0.2,0,opt,inf,-inf,,0.17114690038476238,0.1711469003847625,-6.486959577586381e-16,9,1.0,0.05643582344055176
100,0.01,0.2,1,original,0.2740138764458777,0.19118475673991664,0.30228074862595944,0.2598980656803108,0.2598980656803107,4.271763322743591e-16,17,2130.0,0.21848583221435547
100,0.01,0.2,1,opt,inf,-inf,,0.2598980656805863,0.2598980656805864,-2.1358816613695312e-16,17,1.0,0.08314800262451172
100,0.01,0.2,2,original,inf,-inf,,0.1577343282907942,0.15773432829079398,1.4077126224272286e-15,10,1.0,0.07314801216125488
100,0.01,0.2,2,opt,inf,-inf,,0.1577343282907942,0.15773432829079378,2.6394611670510536e-15,10,1.0,0.07035708427429199
100,0.01,0.2,3,original,0.2644946655000234,0.1509605561249539,0.4292491463313064,0.2632268625115763,0.2632268625115764,-4.2177421180801055e-16,18,125582.0,2.971626043319702
100,0.01,0.2,3,opt,0.26322686251157607,0.26189393873640626,0.005063783241769956,0.2632268625115761,0.26322686251157607,2.1088710590400542e-16,18,36.0,0.14308404922485352
100,0.01,0.2,4,original,0.2207481464452542,0.2073358482292959,0.06075837297816026,0.22074814644525415,0.2207481464452542,-2.5146825522734196e-16,14,48.0,0.10410499572753906
100,0.01,0.2,4,opt,inf,-inf,,0.2207481464452542,0.2207434372792624,2.1332754397388114e-05,14,1.0,0.06837606430053711
