m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,1000,crime,original,124.48012492556171,48.64627370468534,0.6092044916104037,124.48012492556171,59.334085469098405,0.5233449074333771,34,295747.0,3600.037175178528
100,1000,crime,opt,139.03806432206977,65.94981537523972,0.525670788810231,124.49679124010811,71.55456913107264,0.4252496918328567,31,196652.0,3600.167155981064
